"Step","ar_cyl_s_NB_8_NF_3 - KL_test","ar_cyl_s_NB_8_NF_3 - KL_test__MIN","ar_cyl_s_NB_8_NF_3 - KL_test__MAX","ar_cyl_m_NC_8_NF_3 - KL_test","ar_cyl_m_NC_8_NF_3 - KL_test__MIN","ar_cyl_m_NC_8_NF_3 - KL_test__MAX","cou_s_NB_8_NF_3 - KL_test","cou_s_NB_8_NF_3 - KL_test__MIN","cou_s_NB_8_NF_3 - KL_test__MAX","cou_m_NC_8_NF_3 - KL_test","cou_m_NC_8_NF_3 - KL_test__MIN","cou_m_NC_8_NF_3 - KL_test__MAX"
"0","0.7498586177825928","0.7498586177825928","0.7498586177825928","0.749830961227417","0.749830961227417","0.749830961227417","0.7499678134918213","0.7499678134918213","0.7499678134918213","0.7499136924743652","0.7499136924743652","0.7499136924743652"
"1","0.23326730728149414","0.23326730728149414","0.23326730728149414","0.3753092288970947","0.3753092288970947","0.3753092288970947","0.24549150466918945","0.24549150466918945","0.24549150466918945","0.3619120121002197","0.3619120121002197","0.3619120121002197"
"2","0.12681782245635986","0.12681782245635986","0.12681782245635986","0.35014820098876953","0.35014820098876953","0.35014820098876953","0.09871196746826172","0.09871196746826172","0.09871196746826172","0.2908596992492676","0.2908596992492676","0.2908596992492676"
"3","0.09241390228271484","0.09241390228271484","0.09241390228271484","0.31429171562194824","0.31429171562194824","0.31429171562194824","0.0685124397277832","0.0685124397277832","0.0685124397277832","0.2036755084991455","0.2036755084991455","0.2036755084991455"
"4","0.07769083976745605","0.07769083976745605","0.07769083976745605","0.25479650497436523","0.25479650497436523","0.25479650497436523","0.08627438545227051","0.08627438545227051","0.08627438545227051","0.1645803451538086","0.1645803451538086","0.1645803451538086"
"5","0.07014679908752441","0.07014679908752441","0.07014679908752441","0.26808929443359375","0.26808929443359375","0.26808929443359375","0.06259310245513916","0.06259310245513916","0.06259310245513916","0.14593982696533203","0.14593982696533203","0.14593982696533203"
"6","0.05554783344268799","0.05554783344268799","0.05554783344268799","0.18350958824157715","0.18350958824157715","0.18350958824157715","0.05186343193054199","0.05186343193054199","0.05186343193054199","0.12785577774047852","0.12785577774047852","0.12785577774047852"
"7","0.05162668228149414","0.05162668228149414","0.05162668228149414","0.18318688869476318","0.18318688869476318","0.18318688869476318","0.047243595123291016","0.047243595123291016","0.047243595123291016","0.1201620101928711","0.1201620101928711","0.1201620101928711"
"8","0.05710327625274658","0.05710327625274658","0.05710327625274658","0.14633715152740479","0.14633715152740479","0.14633715152740479","0.03950858116149902","0.03950858116149902","0.03950858116149902","0.11478161811828613","0.11478161811828613","0.11478161811828613"
"9","0.0354464054107666","0.0354464054107666","0.0354464054107666","0.1644831895828247","0.1644831895828247","0.1644831895828247","0.03588533401489258","0.03588533401489258","0.03588533401489258","0.10683560371398926","0.10683560371398926","0.10683560371398926"
"10","0.038309693336486816","0.038309693336486816","0.038309693336486816","0.13987278938293457","0.13987278938293457","0.13987278938293457","0.05084228515625","0.05084228515625","0.05084228515625","0.10420560836791992","0.10420560836791992","0.10420560836791992"
"11","0.03456258773803711","0.03456258773803711","0.03456258773803711","0.12683534622192383","0.12683534622192383","0.12683534622192383","0.05117630958557129","0.05117630958557129","0.05117630958557129","0.10999321937561035","0.10999321937561035","0.10999321937561035"
"12","0.030286788940429688","0.030286788940429688","0.030286788940429688","0.13881707191467285","0.13881707191467285","0.13881707191467285","0.051720619201660156","0.051720619201660156","0.051720619201660156","0.10104584693908691","0.10104584693908691","0.10104584693908691"
"13","0.02434086799621582","0.02434086799621582","0.02434086799621582","0.11794769763946533","0.11794769763946533","0.11794769763946533","0.026842832565307617","0.026842832565307617","0.026842832565307617","0.11880528926849365","0.11880528926849365","0.11880528926849365"
"14","0.033673763275146484","0.033673763275146484","0.033673763275146484","0.11937272548675537","0.11937272548675537","0.11937272548675537","0.03479194641113281","0.03479194641113281","0.03479194641113281","0.10176444053649902","0.10176444053649902","0.10176444053649902"
"15","0.02491450309753418","0.02491450309753418","0.02491450309753418","0.13862645626068115","0.13862645626068115","0.13862645626068115","0.032248497009277344","0.032248497009277344","0.032248497009277344","0.09603750705718994","0.09603750705718994","0.09603750705718994"
"16","0.025237560272216797","0.025237560272216797","0.025237560272216797","0.10427355766296387","0.10427355766296387","0.10427355766296387","0.023723363876342773","0.023723363876342773","0.023723363876342773","0.09370458126068115","0.09370458126068115","0.09370458126068115"
"17","0.01978921890258789","0.01978921890258789","0.01978921890258789","0.10081958770751953","0.10081958770751953","0.10081958770751953","0.020971059799194336","0.020971059799194336","0.020971059799194336","0.12958598136901855","0.12958598136901855","0.12958598136901855"
"18","0.01970052719116211","0.01970052719116211","0.01970052719116211","0.09265685081481934","0.09265685081481934","0.09265685081481934","0.0182492733001709","0.0182492733001709","0.0182492733001709","0.09263873100280762","0.09263873100280762","0.09263873100280762"
"19","0.025116682052612305","0.025116682052612305","0.025116682052612305","0.0882568359375","0.0882568359375","0.0882568359375","0.025454044342041016","0.025454044342041016","0.025454044342041016","0.08409833908081055","0.08409833908081055","0.08409833908081055"
"20","0.02496325969696045","0.02496325969696045","0.02496325969696045","0.0880887508392334","0.0880887508392334","0.0880887508392334","0.0216141939163208","0.0216141939163208","0.0216141939163208","0.0728309154510498","0.0728309154510498","0.0728309154510498"
"21","0.018273353576660156","0.018273353576660156","0.018273353576660156","0.07643938064575195","0.07643938064575195","0.07643938064575195","0.03109908103942871","0.03109908103942871","0.03109908103942871","0.08617138862609863","0.08617138862609863","0.08617138862609863"
"22","0.021413087844848633","0.021413087844848633","0.021413087844848633","0.07467150688171387","0.07467150688171387","0.07467150688171387","0.017346739768981934","0.017346739768981934","0.017346739768981934","0.08132028579711914","0.08132028579711914","0.08132028579711914"
"23","0.016112089157104492","0.016112089157104492","0.016112089157104492","0.07433927059173584","0.07433927059173584","0.07433927059173584","0.02458977699279785","0.02458977699279785","0.02458977699279785","0.07434999942779541","0.07434999942779541","0.07434999942779541"
"24","0.021872520446777344","0.021872520446777344","0.021872520446777344","0.08260536193847656","0.08260536193847656","0.08260536193847656","0.02559185028076172","0.02559185028076172","0.02559185028076172","0.06855487823486328","0.06855487823486328","0.06855487823486328"
"25","0.016927719116210938","0.016927719116210938","0.016927719116210938","0.06406426429748535","0.06406426429748535","0.06406426429748535","0.022308826446533203","0.022308826446533203","0.022308826446533203","0.09035682678222656","0.09035682678222656","0.09035682678222656"
"26","0.012447118759155273","0.012447118759155273","0.012447118759155273","0.06926178932189941","0.06926178932189941","0.06926178932189941","0.016458868980407715","0.016458868980407715","0.016458868980407715","0.06926083564758301","0.06926083564758301","0.06926083564758301"
"27","0.01497507095336914","0.01497507095336914","0.01497507095336914","0.0671074390411377","0.0671074390411377","0.0671074390411377","0.017363786697387695","0.017363786697387695","0.017363786697387695","0.08610725402832031","0.08610725402832031","0.08610725402832031"
"28","0.015279054641723633","0.015279054641723633","0.015279054641723633","0.0625607967376709","0.0625607967376709","0.0625607967376709","0.018326520919799805","0.018326520919799805","0.018326520919799805","0.05666542053222656","0.05666542053222656","0.05666542053222656"
"29","0.027105093002319336","0.027105093002319336","0.027105093002319336","0.05595755577087402","0.05595755577087402","0.05595755577087402","0.015842199325561523","0.015842199325561523","0.015842199325561523","0.07083046436309814","0.07083046436309814","0.07083046436309814"
"30","0.027437448501586914","0.027437448501586914","0.027437448501586914","0.06020975112915039","0.06020975112915039","0.06020975112915039","0.015773534774780273","0.015773534774780273","0.015773534774780273","0.06946158409118652","0.06946158409118652","0.06946158409118652"
"31","0.020041227340698242","0.020041227340698242","0.020041227340698242","0.055585384368896484","0.055585384368896484","0.055585384368896484","0.017638683319091797","0.017638683319091797","0.017638683319091797","0.06585383415222168","0.06585383415222168","0.06585383415222168"
"32","0.015478134155273438","0.015478134155273438","0.015478134155273438","0.04957270622253418","0.04957270622253418","0.04957270622253418","0.02409958839416504","0.02409958839416504","0.02409958839416504","0.08138430118560791","0.08138430118560791","0.08138430118560791"
"33","0.011115789413452148","0.011115789413452148","0.011115789413452148","0.05187201499938965","0.05187201499938965","0.05187201499938965","0.020968198776245117","0.020968198776245117","0.020968198776245117","0.05405616760253906","0.05405616760253906","0.05405616760253906"
"34","0.02047276496887207","0.02047276496887207","0.02047276496887207","0.05241274833679199","0.05241274833679199","0.05241274833679199","0.016875505447387695","0.016875505447387695","0.016875505447387695","0.05363607406616211","0.05363607406616211","0.05363607406616211"
"35","0.01633906364440918","0.01633906364440918","0.01633906364440918","0.05072438716888428","0.05072438716888428","0.05072438716888428","0.013468027114868164","0.013468027114868164","0.013468027114868164","0.051050424575805664","0.051050424575805664","0.051050424575805664"
"36","0.015702486038208008","0.015702486038208008","0.015702486038208008","0.050618886947631836","0.050618886947631836","0.050618886947631836","0.013690829277038574","0.013690829277038574","0.013690829277038574","0.057550907135009766","0.057550907135009766","0.057550907135009766"
