"Step","cou_cyl_s_NB_12_NF_4_seed_07 - neg_log_likel_test","cou_cyl_s_NB_12_NF_4_seed_07 - neg_log_likel_test__MIN","cou_cyl_s_NB_12_NF_4_seed_07 - neg_log_likel_test__MAX","cou_cyl_m_NC_8_NF_4_seed_07 - neg_log_likel_test","cou_cyl_m_NC_8_NF_4_seed_07 - neg_log_likel_test__MIN","cou_cyl_m_NC_8_NF_4_seed_07 - neg_log_likel_test__MAX","cou_s_NB_12_NF_4_seed_07 - neg_log_likel_test","cou_s_NB_12_NF_4_seed_07 - neg_log_likel_test__MIN","cou_s_NB_12_NF_4_seed_07 - neg_log_likel_test__MAX","cou_m_NC_8_NF_4_seed_07 - neg_log_likel_test","cou_m_NC_8_NF_4_seed_07 - neg_log_likel_test__MIN","cou_m_NC_8_NF_4_seed_07 - neg_log_likel_test__MAX","cou_cyl_s_NB_12_NF_4_seed_24 - neg_log_likel_test","cou_cyl_s_NB_12_NF_4_seed_24 - neg_log_likel_test__MIN","cou_cyl_s_NB_12_NF_4_seed_24 - neg_log_likel_test__MAX","cou_cyl_m_NC_8_NF_4_seed_24 - neg_log_likel_test","cou_cyl_m_NC_8_NF_4_seed_24 - neg_log_likel_test__MIN","cou_cyl_m_NC_8_NF_4_seed_24 - neg_log_likel_test__MAX","cou_s_NB_12_NF_4_seed_24 - neg_log_likel_test","cou_s_NB_12_NF_4_seed_24 - neg_log_likel_test__MIN","cou_s_NB_12_NF_4_seed_24 - neg_log_likel_test__MAX","cou_m_NC_8_NF_4_seed_24 - neg_log_likel_test","cou_m_NC_8_NF_4_seed_24 - neg_log_likel_test__MIN","cou_m_NC_8_NF_4_seed_24 - neg_log_likel_test__MAX","cou_cyl_s_NB_12_NF_4_seed_42 - neg_log_likel_test","cou_cyl_s_NB_12_NF_4_seed_42 - neg_log_likel_test__MIN","cou_cyl_s_NB_12_NF_4_seed_42 - neg_log_likel_test__MAX","cou_cyl_m_NC_8_NF_4_seed_42 - neg_log_likel_test","cou_cyl_m_NC_8_NF_4_seed_42 - neg_log_likel_test__MIN","cou_cyl_m_NC_8_NF_4_seed_42 - neg_log_likel_test__MAX"
"0","-40.76768112182617","-40.76768112182617","-40.76768112182617","-40.76766586303711","-40.76766586303711","-40.76766586303711","-40.7677001953125","-40.7677001953125","-40.7677001953125","-40.76776885986328","-40.76776885986328","-40.76776885986328","-40.76771545410156","-40.76771545410156","-40.76771545410156","-40.76761245727539","-40.76761245727539","-40.76761245727539","-40.76771926879883","-40.76771926879883","-40.76771926879883","-40.76777267456055","-40.76777267456055","-40.76777267456055","-40.767852783203125","-40.767852783203125","-40.767852783203125","-40.767555236816406","-40.767555236816406","-40.767555236816406"
"1","-41.00371170043945","-41.00371170043945","-41.00371170043945","-41.00524139404297","-41.00524139404297","-41.00524139404297","-40.90232467651367","-40.90232467651367","-40.90232467651367","-40.95451736450195","-40.95451736450195","-40.95451736450195","-41.044776916503906","-41.044776916503906","-41.044776916503906","-41.04339599609375","-41.04339599609375","-41.04339599609375","-40.9250373840332","-40.9250373840332","-40.9250373840332","-40.984779357910156","-40.984779357910156","-40.984779357910156","-41.09537887573242","-41.09537887573242","-41.09537887573242","-41.10590744018555","-41.10590744018555","-41.10590744018555"
"2","-41.02268600463867","-41.02268600463867","-41.02268600463867","-41.019630432128906","-41.019630432128906","-41.019630432128906","-40.921630859375","-40.921630859375","-40.921630859375","-40.96574020385742","-40.96574020385742","-40.96574020385742","-41.05757141113281","-41.05757141113281","-41.05757141113281","-41.06843185424805","-41.06843185424805","-41.06843185424805","-40.95355224609375","-40.95355224609375","-40.95355224609375","-41.016578674316406","-41.016578674316406","-41.016578674316406","-41.116939544677734","-41.116939544677734","-41.116939544677734","-41.12495422363281","-41.12495422363281","-41.12495422363281"
"3","-41.025272369384766","-41.025272369384766","-41.025272369384766","-41.025177001953125","-41.025177001953125","-41.025177001953125","-40.93133544921875","-40.93133544921875","-40.93133544921875","-40.98398971557617","-40.98398971557617","-40.98398971557617","-41.06587600708008","-41.06587600708008","-41.06587600708008","-41.0711555480957","-41.0711555480957","-41.0711555480957","-40.962955474853516","-40.962955474853516","-40.962955474853516","-41.038246154785156","-41.038246154785156","-41.038246154785156","-41.119911193847656","-41.119911193847656","-41.119911193847656","-41.12580490112305","-41.12580490112305","-41.12580490112305"
"4","-41.0288200378418","-41.0288200378418","-41.0288200378418","-41.02434539794922","-41.02434539794922","-41.02434539794922","-40.93395233154297","-40.93395233154297","-40.93395233154297","-41.00062942504883","-41.00062942504883","-41.00062942504883","-41.06950759887695","-41.06950759887695","-41.06950759887695","-41.0771369934082","-41.0771369934082","-41.0771369934082","-40.97942352294922","-40.97942352294922","-40.97942352294922","-41.05144500732422","-41.05144500732422","-41.05144500732422","-41.12431335449219","-41.12431335449219","-41.12431335449219","-41.132354736328125","-41.132354736328125","-41.132354736328125"
"5","-41.02447509765625","-41.02447509765625","-41.02447509765625","-41.03241729736328","-41.03241729736328","-41.03241729736328","-40.954063415527344","-40.954063415527344","-40.954063415527344","-41.009769439697266","-41.009769439697266","-41.009769439697266","-41.07497787475586","-41.07497787475586","-41.07497787475586","-41.077545166015625","-41.077545166015625","-41.077545166015625","-40.9916877746582","-40.9916877746582","-40.9916877746582","-41.06087875366211","-41.06087875366211","-41.06087875366211","-41.122802734375","-41.122802734375","-41.122802734375","-41.13362121582031","-41.13362121582031","-41.13362121582031"
"6","-41.03140640258789","-41.03140640258789","-41.03140640258789","-41.02932357788086","-41.02932357788086","-41.02932357788086","-40.96198654174805","-40.96198654174805","-40.96198654174805","-41.011566162109375","-41.011566162109375","-41.011566162109375","-41.076507568359375","-41.076507568359375","-41.076507568359375","-41.07978057861328","-41.07978057861328","-41.07978057861328","-41.01096725463867","-41.01096725463867","-41.01096725463867","-41.0682258605957","-41.0682258605957","-41.0682258605957","-41.13119888305664","-41.13119888305664","-41.13119888305664","-41.13651657104492","-41.13651657104492","-41.13651657104492"
"7","-41.02854537963867","-41.02854537963867","-41.02854537963867","-41.02980041503906","-41.02980041503906","-41.02980041503906","-40.96612548828125","-40.96612548828125","-40.96612548828125","-41.0138053894043","-41.0138053894043","-41.0138053894043","-41.07883834838867","-41.07883834838867","-41.07883834838867","-41.07938766479492","-41.07938766479492","-41.07938766479492","-41.0125617980957","-41.0125617980957","-41.0125617980957","-41.07637023925781","-41.07637023925781","-41.07637023925781","-41.12777328491211","-41.12777328491211","-41.12777328491211","-41.135738372802734","-41.135738372802734","-41.135738372802734"
"8","-41.031829833984375","-41.031829833984375","-41.031829833984375","-41.03269958496094","-41.03269958496094","-41.03269958496094","-40.97372817993164","-40.97372817993164","-40.97372817993164","-41.01151657104492","-41.01151657104492","-41.01151657104492","-41.081722259521484","-41.081722259521484","-41.081722259521484","-41.07579040527344","-41.07579040527344","-41.07579040527344","-41.0125732421875","-41.0125732421875","-41.0125732421875","-41.08009719848633","-41.08009719848633","-41.08009719848633","-41.134578704833984","-41.134578704833984","-41.134578704833984","-41.139095306396484","-41.139095306396484","-41.139095306396484"
"9","-41.030147552490234","-41.030147552490234","-41.030147552490234","-41.02729797363281","-41.02729797363281","-41.02729797363281","-40.97578811645508","-40.97578811645508","-40.97578811645508","-41.01865768432617","-41.01865768432617","-41.01865768432617","-41.083580017089844","-41.083580017089844","-41.083580017089844","-41.082183837890625","-41.082183837890625","-41.082183837890625","-41.02632522583008","-41.02632522583008","-41.02632522583008","-41.07648849487305","-41.07648849487305","-41.07648849487305","-41.137962341308594","-41.137962341308594","-41.137962341308594","-41.14363098144531","-41.14363098144531","-41.14363098144531"
"10","-41.03211975097656","-41.03211975097656","-41.03211975097656","-41.03580093383789","-41.03580093383789","-41.03580093383789","-40.9818229675293","-40.9818229675293","-40.9818229675293","-41.02177810668945","-41.02177810668945","-41.02177810668945","-41.080997467041016","-41.080997467041016","-41.080997467041016","-41.08270263671875","-41.08270263671875","-41.08270263671875","-41.032737731933594","-41.032737731933594","-41.032737731933594","-41.07758712768555","-41.07758712768555","-41.07758712768555","-41.138771057128906","-41.138771057128906","-41.138771057128906","-41.142662048339844","-41.142662048339844","-41.142662048339844"
"11","-41.038795471191406","-41.038795471191406","-41.038795471191406","-41.034278869628906","-41.034278869628906","-41.034278869628906","-40.98347854614258","-40.98347854614258","-40.98347854614258","-41.022911071777344","-41.022911071777344","-41.022911071777344","-41.078792572021484","-41.078792572021484","-41.078792572021484","-41.07956314086914","-41.07956314086914","-41.07956314086914","-41.034854888916016","-41.034854888916016","-41.034854888916016","-41.07396697998047","-41.07396697998047","-41.07396697998047","-41.1353759765625","-41.1353759765625","-41.1353759765625","-41.13279342651367","-41.13279342651367","-41.13279342651367"
"12","-41.03520584106445","-41.03520584106445","-41.03520584106445","-41.03253936767578","-41.03253936767578","-41.03253936767578","-40.98786926269531","-40.98786926269531","-40.98786926269531","-41.0219841003418","-41.0219841003418","-41.0219841003418","-41.08351516723633","-41.08351516723633","-41.08351516723633","-41.084930419921875","-41.084930419921875","-41.084930419921875","-41.03993606567383","-41.03993606567383","-41.03993606567383","-41.08189392089844","-41.08189392089844","-41.08189392089844","-41.13751220703125","-41.13751220703125","-41.13751220703125","-41.142189025878906","-41.142189025878906","-41.142189025878906"
"13","-41.036739349365234","-41.036739349365234","-41.036739349365234","-41.03416061401367","-41.03416061401367","-41.03416061401367","-40.98739242553711","-40.98739242553711","-40.98739242553711","-41.027523040771484","-41.027523040771484","-41.027523040771484","-41.086875915527344","-41.086875915527344","-41.086875915527344","-41.089439392089844","-41.089439392089844","-41.089439392089844","-41.042457580566406","-41.042457580566406","-41.042457580566406","-41.089473724365234","-41.089473724365234","-41.089473724365234","-41.13432312011719","-41.13432312011719","-41.13432312011719","-41.14337921142578","-41.14337921142578","-41.14337921142578"
"14","-41.037010192871094","-41.037010192871094","-41.037010192871094","-41.03401184082031","-41.03401184082031","-41.03401184082031","-40.9914665222168","-40.9914665222168","-40.9914665222168","-41.02555465698242","-41.02555465698242","-41.02555465698242","-41.084693908691406","-41.084693908691406","-41.084693908691406","-41.087398529052734","-41.087398529052734","-41.087398529052734","-41.051727294921875","-41.051727294921875","-41.051727294921875","-41.08473205566406","-41.08473205566406","-41.08473205566406","-41.137054443359375","-41.137054443359375","-41.137054443359375","-41.14432907104492","-41.14432907104492","-41.14432907104492"
"15","-41.03193664550781","-41.03193664550781","-41.03193664550781","-41.037418365478516","-41.037418365478516","-41.037418365478516","-40.98850631713867","-40.98850631713867","-40.98850631713867","-41.031612396240234","-41.031612396240234","-41.031612396240234","-41.07815170288086","-41.07815170288086","-41.07815170288086","-41.084556579589844","-41.084556579589844","-41.084556579589844","-41.03712463378906","-41.03712463378906","-41.03712463378906","-41.09235763549805","-41.09235763549805","-41.09235763549805","-41.14057540893555","-41.14057540893555","-41.14057540893555","-41.143402099609375","-41.143402099609375","-41.143402099609375"
"16","-41.03288269042969","-41.03288269042969","-41.03288269042969","-41.03773498535156","-41.03773498535156","-41.03773498535156","-40.995872497558594","-40.995872497558594","-40.995872497558594","-41.024879455566406","-41.024879455566406","-41.024879455566406","-41.07792282104492","-41.07792282104492","-41.07792282104492","-41.08987808227539","-41.08987808227539","-41.08987808227539","-41.0455207824707","-41.0455207824707","-41.0455207824707","-41.093048095703125","-41.093048095703125","-41.093048095703125","-41.13566207885742","-41.13566207885742","-41.13566207885742","-41.14188766479492","-41.14188766479492","-41.14188766479492"
"17","-41.03541946411133","-41.03541946411133","-41.03541946411133","-41.039649963378906","-41.039649963378906","-41.039649963378906","-40.99657440185547","-40.99657440185547","-40.99657440185547","-41.0322380065918","-41.0322380065918","-41.0322380065918","-41.08538818359375","-41.08538818359375","-41.08538818359375","-41.090171813964844","-41.090171813964844","-41.090171813964844","-41.04701614379883","-41.04701614379883","-41.04701614379883","-41.08821487426758","-41.08821487426758","-41.08821487426758","-41.1387825012207","-41.1387825012207","-41.1387825012207","-41.141029357910156","-41.141029357910156","-41.141029357910156"
"18","-41.0372428894043","-41.0372428894043","-41.0372428894043","-41.03684997558594","-41.03684997558594","-41.03684997558594","-41.00060272216797","-41.00060272216797","-41.00060272216797","-41.03550720214844","-41.03550720214844","-41.03550720214844","-41.08342361450195","-41.08342361450195","-41.08342361450195","-41.08213424682617","-41.08213424682617","-41.08213424682617","-41.052677154541016","-41.052677154541016","-41.052677154541016","-41.08498764038086","-41.08498764038086","-41.08498764038086","-41.14109420776367","-41.14109420776367","-41.14109420776367","-41.142520904541016","-41.142520904541016","-41.142520904541016"
"19","-41.03999710083008","-41.03999710083008","-41.03999710083008","-41.03973388671875","-41.03973388671875","-41.03973388671875","-40.99542999267578","-40.99542999267578","-40.99542999267578","-41.026126861572266","-41.026126861572266","-41.026126861572266","-41.08671569824219","-41.08671569824219","-41.08671569824219","-41.0855827331543","-41.0855827331543","-41.0855827331543","-41.05086898803711","-41.05086898803711","-41.05086898803711","-41.089500427246094","-41.089500427246094","-41.089500427246094","-41.141788482666016","-41.141788482666016","-41.141788482666016","-41.148529052734375","-41.148529052734375","-41.148529052734375"
